stage,operation,test_number,slice_path,processed_files,processed_rows,rows_after_cleaning,execution_time_sec,throughput_rows_sec,dataset_size_mib,benchmark_start_timestamp,benchmark_end_timestamp,avg_rss_mib,peak_rss_mib,memory_percent_of_total,avg_process_cpu_percent,peak_process_cpu_percent,avg_system_cpu_per_core_percent,peak_system_cpu_per_core_percent,logical_read_mib,logical_write_mib,physical_read_mib,physical_write_mib,net_sent_mib,net_received_mib,failed_process_metric_count,msg,dataframe_partitions
"ingestion, cleaning, transformation and profiling",standard,1,hdfs:///data/CSV/raw-data/1st-slice/,1,3898963,3842001,199.14924306799998,19578.096004455765,402.3603820800781,2026-04-19T13:19:13.486092+00:00,2026-04-19T13:22:32.635372+00:00,58.14650483287122,58.84765625,0.760691464249016,11.005730129390018,67.0,"[89.99562538508923, 90.68736906962413, 89.66956253850888, 91.82538508934059]","[100.0, 100.0, 100.0, 100.0]",0.0,0.01953125,442.46875,149.07421875,6573.478049278259,6573.477442741394,0,"Ingestion, cleaning, transformation and profiling finished successfully",4
"ingestion, cleaning, transformation and profiling",standard,2,hdfs:///data/CSV/raw-data/1st-slice/,1,3898963,3842001,197.32505102000005,19759.08775822294,402.3603820800781,2026-04-19T13:41:17.143265+00:00,2026-04-19T13:44:34.468352+00:00,58.15548088121118,58.828125,0.7604393784392713,10.810745341614869,64.0,"[90.33453416149068, 89.62130434782598, 89.52863354037268, 89.78291925465864]","[100.0, 100.0, 100.0, 100.0]",0.0,0.0234375,442.484375,148.00390625,6577.147070884705,6577.146536827087,0,"Ingestion, cleaning, transformation and profiling finished successfully",4
"ingestion, cleaning, transformation and profiling",standard,3,hdfs:///data/CSV/raw-data/1st-slice/,1,3898963,3842001,202.016708308,19300.200625264806,402.3603820800781,2026-04-19T13:50:30.390957+00:00,2026-04-19T13:53:52.407702+00:00,58.12236571819842,58.83203125,0.7604891044194309,11.142178940961658,65.1,"[88.67948874010959, 88.69494826536824, 88.58447961046856, 90.03761412051115]","[100.0, 100.0, 100.0, 100.0]",0.0,0.01953125,442.375,148.28515625,6581.029316902161,6581.028692245483,0,"Ingestion, cleaning, transformation and profiling finished successfully",4
"ingestion, cleaning, transformation and profiling",standard,4,hdfs:///data/CSV/raw-data/2nd-slice/,14,52359167,52083792,4485.994044205,11671.697840891582,5343.146864891052,2026-04-19T14:16:52.307290+00:00,2026-04-19T15:31:38.301368+00:00,67.80758100649126,77.58984375,1.0029614705860077,10.500185662426826,71.3,"[95.65145343197935, 95.34790644830095, 96.03771718346837, 95.16367389918317]","[100.0, 100.0, 100.0, 100.0]",0.0,0.05859375,45271.578125,2044.95703125,86917.17323493958,86917.16685390472,0,"Ingestion, cleaning, transformation and profiling finished successfully",44
"ingestion, cleaning, transformation and profiling",standard,5,hdfs:///data/CSV/raw-data/2nd-slice/,14,52359167,52083792,4306.1583074010005,12159.136581209805,5343.146864891052,2026-04-19T18:03:30.173319+00:00,2026-04-19T19:15:16.331663+00:00,67.57502123023005,77.41015625,1.0006392538201223,10.316005751258093,26.7,"[94.9606585190473, 95.1030107836048, 95.1915053918001, 94.70737311286467]","[100.0, 100.0, 100.0, 100.0]",0.0,0.0625,42373.2109375,2053.26171875,81447.23528289795,81447.22679424286,0,"Ingestion, cleaning, transformation and profiling finished successfully",44
"ingestion, cleaning, transformation and profiling",standard,6,hdfs:///data/CSV/raw-data/3rd-slice/,31,107462293,107143154,8601.701890882,12493.143143441474,10898.749529838562,2026-04-21T01:40:27.847578+00:00,2026-04-21T04:03:49.549495+00:00,77.28111561595482,96.0234375,1.2412424543092806,10.374677073285286,120.6,"[94.6916492663003, 94.88183114208323, 94.65677462090721, 94.66439093932647]","[100.0, 100.0, 100.0, 100.0]",0.00390625,0.0625,169112.0546875,4116.1015625,176984.60621356964,176984.58418655396,0,"Ingestion, cleaning, transformation and profiling finished successfully",90
