vendor_id,trip_distance_count,trip_distance_mean,trip_distance_median,trip_distance_stddev,trip_distance_min,trip_distance_max,fare_amount_count,fare_amount_mean,fare_amount_median,fare_amount_stddev,fare_amount_min,fare_amount_max,tip_amount_count,tip_amount_mean,tip_amount_median,tip_amount_stddev,tip_amount_min,tip_amount_max,total_amount_count,total_amount_mean,total_amount_median,total_amount_stddev,total_amount_min,total_amount_max
1,11202320,3.238182251533592,1.7,4.139165203839418,0.0,363.1,11202320,19.03544916856488,13.5,296.44226404315856,0.0,863372.12,11202320,2.9638353939183957,2.45,3.7769839588201006,0.0,960.94,11202320,27.33270531372342,21.0,296.6746478585143,0.0,863380.37
6,4858,9.502710992177848,9.01,6.00928241201192,0.19,79.73,4858,2.9987958007410334,2.9,1.9504580825054763,0.0,67.94,4858,0.0,0.0,0.0,0.0,0.0,4858,33.24369287772745,31.7,17.09055357815954,0.0,245.21
2,40876614,3.402964733575627,1.8,4.451068690651264,0.0,1044.66,40876614,18.666173769188408,13.54,20.108426146654907,-2261.2,2495.0,40876614,3.0901549859286894,2.38,4.097393949358376,-220.0,494.0,40876614,27.220298189332606,21.06,24.819010738600202,-2265.45,5297.87
