vendor_id,trip_distance_count,trip_distance_mean,trip_distance_median,trip_distance_stddev,trip_distance_min,trip_distance_max,fare_amount_count,fare_amount_mean,fare_amount_median,fare_amount_stddev,fare_amount_min,fare_amount_max,tip_amount_count,tip_amount_mean,tip_amount_median,tip_amount_stddev,tip_amount_min,tip_amount_max,total_amount_count,total_amount_mean,total_amount_median,total_amount_stddev,total_amount_min,total_amount_max
1,724017,3.5033507500514625,1.9,4.304080710060284,0.0,363.1,724017,19.610395847058925,14.2,16.58501229796085,0.0,950.0,724017,2.6499487166737574,2.0,3.739252332877955,0.0,500.0,724017,27.608028043542102,21.72,19.83843752792055,0.0,1098.06
2,3115682,3.535273891879479,1.93,4.456336846225304,0.0,366.4,3115682,18.34543470739389,14.2,20.85179688655443,-1591.3,2495.0,3115682,2.6834729860106403,1.95,3.9863560075307047,-52.75,400.5,3115682,26.65774331911129,21.38,25.267557223951137,-1634.75,5297.87
6,2302,8.462172024326659,7.49,5.571376869073204,0.26,29.85,2302,2.9440920938313675,2.9,1.166766864600781,0.0,8.7,2302,0.0,0.0,0.0,0.0,0.0,2302,30.856980886185884,27.88,15.286493274335959,0.0,99.74
