counter,stage,operation,slice_path,processed_files,processed_rows,chunksize,dataset_size_mib,msg,execution_time_sec_average,execution_time_sec_standard_deviation,execution_time_sec_min,execution_time_sec_max,throughput_rows_sec_average,throughput_rows_sec_standard_deviation,throughput_rows_sec_min,throughput_rows_sec_max,avg_rss_mib_average,avg_rss_mib_standard_deviation,avg_rss_mib_min,avg_rss_mib_max,peak_rss_mib_average,peak_rss_mib_standard_deviation,peak_rss_mib_min,peak_rss_mib_max,memory_percent_of_total_average,memory_percent_of_total_standard_deviation,memory_percent_of_total_min,memory_percent_of_total_max,avg_process_cpu_percent_average,avg_process_cpu_percent_standard_deviation,avg_process_cpu_percent_min,avg_process_cpu_percent_max,peak_process_cpu_percent_average,peak_process_cpu_percent_standard_deviation,peak_process_cpu_percent_min,peak_process_cpu_percent_max,logical_read_mib_average,logical_read_mib_standard_deviation,logical_read_mib_min,logical_read_mib_max,logical_write_mib_average,logical_write_mib_standard_deviation,logical_write_mib_min,logical_write_mib_max,physical_read_mib_average,physical_read_mib_standard_deviation,physical_read_mib_min,physical_read_mib_max,physical_write_mib_average,physical_write_mib_standard_deviation,physical_write_mib_min,physical_write_mib_max,peak_system_cpu_per_core_percent_average,peak_system_cpu_per_core_percent_standard_deviation,peak_system_cpu_per_core_percent_min,peak_system_cpu_per_core_percent_max,avg_system_cpu_per_core_percent_average,avg_system_cpu_per_core_percent_standard_deviation,avg_system_cpu_per_core_percent_min,avg_system_cpu_per_core_percent_max,rows_in_group
1,"ingestion, cleaning, transformation and profiling",in-memory,../data/CSV/raw-data/1st-slice/,1,3898963,0,402.360382,"Ingestion, cleaning, transformation and profiling completed successfully",25.103007,0.453265,24.798099,25.623866,155351.998161,2777.399874,152161.389126,157228.301873,1567.806721,40.772664,1521.492188,1598.287454,3169.408854,179.769641,2987.003906,3346.421875,38.099849,2.161033,35.907137,40.227744,107.175179,0.683838,106.385714,107.583824,126.433333,4.110150,122.500000,130.700000,406.729167,0.381881,406.312500,407.062500,7.095052,0.002255,7.093750,7.097656,406.589844,0.541534,406.062500,407.144531,7.550781,0.281358,7.246094,7.800781,"[100.0, 100.0, 75.76666666666667, 69.7]","[0.0, 0.0, 41.9733645700858, 52.48113946933698]","[100.0, 100.0, 27.3, 9.1]","[100.0, 100.0, 100.0, 100.0]","[23.868856209150323, 24.24467880485527, 45.88791830065359, 9.931057889822595]","[5.215558643519231, 30.925535342267835, 37.20230424104874, 7.868485109804743]","[18.15, 5.371428571428572, 4.430666666666667, 0.9714285714285714]","[28.363235294117636, 59.93466666666665, 76.36249999999998, 15.717333333333332]",3
2,"ingestion, cleaning, transformation and profiling",chunking,../data/CSV/raw-data/2nd-slice,14,52359167,100000,5343.146865,"Ingestion, cleaning, transformation and profiling completed successfully. Vendor summary is not computed in chunk mode.",282.133521,2.372067,279.910869,284.631052,185591.669029,1558.184999,183954.514579,187056.570067,225.065401,8.662562,215.249525,231.639597,253.157552,1.281359,252.156250,254.601562,3.043238,0.015403,3.031201,3.060596,107.188910,0.039135,107.144199,107.216944,143.566667,22.514292,127.500000,169.300000,5346.078125,0.000000,5346.078125,5346.078125,39.403646,0.020045,39.386719,39.425781,5427.061198,0.270473,5426.816406,5427.351562,44.977865,1.366721,43.445312,46.070312,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[19.39463594682356, 22.13818834846931, 16.79280781515754, 42.59040836916216]","[17.24496226315574, 16.811493606909565, 15.739235322274828, 4.505891088318655]","[5.676400947119181, 12.017327935222676, 5.408803986710966, 39.91943319838054]","[38.753603238866454, 41.5444352159469, 34.753749013417526, 47.79273875295978]",3
3,"ingestion, cleaning, transformation and profiling",chunking,../data/CSV/raw-data/2nd-slice,14,52359167,1000000,5343.146865,"Ingestion, cleaning, transformation and profiling completed successfully. Vendor summary is not computed in chunk mode.",285.286642,5.231672,279.685287,290.046659,183573.124505,3381.461509,180519.807343,187207.441186,902.366708,55.927852,837.859155,937.267429,1247.497396,2.115098,1245.878906,1249.890625,14.996320,0.025423,14.976869,15.025087,106.834012,0.092783,106.737191,106.922145,135.466667,2.470493,133.200000,138.100000,5345.822917,0.659223,5345.324219,5346.570312,35.039062,0.035156,35.003906,35.074219,5426.520833,0.263790,5426.261719,5426.789062,41.885417,3.798198,39.503906,46.265625,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[8.492127417549268, 43.56973788524976, 19.020862254220535, 30.298658018384028]","[5.378352813168454, 28.23978277819569, 6.551084996803121, 37.670112101279365]","[4.493425605536331, 10.966320645905425, 12.137139561707034, 2.379213483146065]","[14.606629213483147, 60.36966292134827, 25.178876404494385, 73.14463667820071]",3
4,"ingestion, cleaning, transformation and profiling",chunking,../data/CSV/raw-data/2nd-slice,14,52359167,3000000,5343.146865,"Ingestion, cleaning, transformation and profiling completed successfully. Vendor summary is not computed in chunk mode.",296.107848,4.636612,290.843607,299.584952,176853.784832,2790.874110,174772.353004,180025.160140,1712.851460,24.721162,1684.863021,1731.705859,3038.376302,21.043378,3014.191406,3052.503906,36.524691,0.252965,36.233961,36.694520,107.245163,0.041188,107.207118,107.288901,208.000000,125.801073,129.500000,353.100000,5346.236979,0.384450,5345.816406,5346.570312,34.813802,0.050379,34.757812,34.855469,5401.472656,46.663892,5347.589844,5428.441406,36.069010,4.338761,31.113281,39.183594,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[34.372483723732934, 29.876118065986187, 15.122274016145369, 23.356218694062893]","[17.69014911069501, 24.42222723648735, 12.127873635502668, 25.083284960202537]","[23.434867663981578, 13.039556592765463, 4.2302646720368235, 1.678708946772366]","[54.781766704416754, 57.88630609896433, 28.1911664779162, 50.83033838973163]",3
5,"ingestion, cleaning, transformation and profiling",chunking,../data/CSV/raw-data/3rd-slice,31,107462293,100000,10898.749530,"Ingestion, cleaning, transformation and profiling completed successfully. Vendor summary is not computed in chunk mode.",589.598079,3.584670,585.638103,592.621523,182268.143431,1110.641481,181333.766639,183496.074561,225.582666,2.302414,223.137817,227.709605,258.750000,1.629782,256.992188,260.210938,3.110465,0.019592,3.089334,3.128027,106.952436,0.270316,106.691366,107.231135,126.300000,2.306513,124.100000,128.700000,10901.328125,0.379751,10900.996094,10901.742188,50.587240,0.035011,50.546875,50.609375,10955.912760,45.881307,10902.933594,10982.417969,54.519531,4.152623,51.554688,59.265625,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[13.21978539598076, 29.956703130906035, 17.305081066982435, 39.50202112942642]","[8.333903075517716, 1.5672039909762778, 12.745867154956564, 7.665874582134124]","[6.53999215070643, 28.689835164835173, 7.6533874239350865, 32.56510989010987]","[22.558782961460462, 31.709249492900604, 31.753335949764477, 47.732312524538614]",3
6,"ingestion, cleaning, transformation and profiling",chunking,../data/CSV/raw-data/4th-slice,115,634773754,100000,60401.126204,"Ingestion, cleaning, transformation and profiling completed successfully. Vendor summary is not computed in chunk mode.",3307.448319,20.024183,3284.341524,3319.726212,191927.207510,1166.031029,191212.682456,193272.760895,227.862995,2.046017,225.928919,230.005064,265.980469,1.364014,264.410156,266.871094,3.197385,0.016397,3.178508,3.208093,106.617920,0.189887,106.434148,106.813382,182.600000,42.349380,133.700000,207.300000,60404.807292,0.377622,60404.476562,60405.218750,216.309896,0.483766,215.796875,216.757812,60434.406576,45.379362,60406.207031,60486.753906,244.759115,5.727501,238.796875,250.218750,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[23.25573986445049, 23.573393118132532, 28.329153536922234, 24.06197514518259]","[7.387780869004346, 12.108421757741295, 14.715197417970762, 12.625089534887918]","[18.84370989404566, 9.941590807342221, 13.066111150342575, 9.915761067755836]","[31.78471300415731, 33.08082762516793, 42.42725712580233, 34.18571428571458]",3
