stage,operation,test_number,slice_name,parquet_path,total_files,total_rows_in_dataset,total_rows_used_ml,execution_time_sec,execution_time_sec_train,execution_time_sec_pred,throughput_total_rows_sec,throughput_rows_used_ml_sec,parquet_files_size_mib,benchmark_start_timestamp,benchmark_end_timestamp,avg_rss_mib,peak_rss_mib,memory_percent_of_total,avg_process_cpu_percent,peak_process_cpu_percent,avg_system_cpu_per_core_percent,peak_system_cpu_per_core_percent,logical_read_mib,logical_write_mib,physical_read_mib,physical_write_mib,mae,rmse,r2,msg,dataframe_partitions_parquet
machine learning,standard,1,1st-slice,hdfs:///data/parquet/1st-slice_compacted,1,3842001,3594842,104.929185476,41.643653215,16.725678937999987,36615.179871750406,34259.69603873684,83.74209499359131,2026-04-24T13:36:22.979428+00:00,2026-04-24T13:38:07.908662+00:00,60.219450802813164,60.55859375,0.7828078174744437,9.779193205944843,111.3,"[40.337791932059396, 36.63609341825894, 36.78397027600839, 34.334182590233354]","[100.0, 100.0, 100.0, 100.0]",0.0,0.0,51.35546875,95.31640625,2.4749384245151735,3.4110410202428474,0.2644773557793675,Machine learning algorithm completed,8
machine learning,standard,2,2nd-slice,hdfs:///data/parquet/2nd-slice_compacted,14,52083818,50036106,320.88039083199993,141.65232527400002,59.670247096000026,162315.3657503147,155933.8227875598,1161.4181337356567,2026-04-24T13:48:25.844490+00:00,2026-04-24T13:53:46.724926+00:00,60.72656708839076,61.51953125,0.7952289293872662,10.879992169146476,35.1,"[94.7629209083786, 95.33664839467461, 94.82404072043809, 94.52642913077499]","[100.0, 100.0, 100.0, 100.0]",0.0,0.0,1156.60546875,3410.9609375,2.3097792534169144,3.302012084392006,0.3272289941871016,Machine learning algorithm completed,14
machine learning,standard,3,3rd-slice,hdfs:///data/parquet/3rd-slice_compacted,31,107143226,104459102,624.4107908650001,281.202138049,119.62199617800002,171590.92630602018,167292.2754190269,2381.8712244033813,2026-04-24T14:05:28.038447+00:00,2026-04-24T14:15:52.449271+00:00,61.4628492484798,62.90234375,0.8131037811875769,10.482640251078909,53.7,"[83.21182816790875, 83.01443703413088, 81.74364456649683, 81.8917418595525]","[100.0, 100.0, 100.0, 100.0]",0.0,0.0,3183.7421875,5775.12109375,2.1207233543695514,3.1974279971022708,0.3683398100938574,Machine learning algorithm completed,31
machine learning,standard,4,4th-slice,hdfs:///data/parquet/4th-slice_compacted,115,633413894,629893422,4515.718691689,2055.7004370610002,904.4935832390001,140268.67864151348,139489.07472010906,11799.798226356506,2026-04-24T16:25:17.551473+00:00,2026-04-24T17:40:33.273043+00:00,60.82527016048781,70.328125,0.9090936633081436,10.61468650488644,76.2,"[94.07886790380523, 94.09716701437921, 94.1247227407436, 93.7617958713022]","[100.0, 100.0, 100.0, 100.0]",2.29296875,0.0,64424.193359375,39335.6484375,1.147231794284503,2.151920011585159,0.4737662919878973,Machine learning algorithm completed,116
