stage,operation,test_number,slice_path,processed_files,processed_rows,rows_after_cleaning,execution_time_sec,throughput_rows_sec,dataset_size_mib,benchmark_start_timestamp,benchmark_end_timestamp,avg_rss_mib,peak_rss_mib,memory_percent_of_total,avg_process_cpu_percent,peak_process_cpu_percent,avg_system_cpu_per_core_percent,peak_system_cpu_per_core_percent,logical_read_mib,logical_write_mib,physical_read_mib,physical_write_mib,net_sent_mib,net_received_mib,failed_process_metric_count,msg,dataframe_partitions
"ingestion, cleaning, transformation and profiling",standard,1,hdfs:///data/CSV/raw-data/1st-slice/,1,3898963,3842001,129.049269851,30212.97993008201,402.3603820800781,2026-04-23T19:03:04.545600+00:00,2026-04-23T19:05:13.594915+00:00,57.72791581693858,58.25390625,0.7530160025368151,11.740019193857988,99.4,"[81.50863723608457, 81.57447216890608, 84.74817658349339, 80.5209213051824]","[100.0, 100.0, 100.0, 100.0]",0.0,0.015625,443.28125,80.54296875,6583.351898193359,3289.94495677948,0,"Ingestion, cleaning, transformation and profiling finished successfully",8
"ingestion, cleaning, transformation and profiling",standard,2,hdfs:///data/CSV/raw-data/2nd-slice/,14,52359167,52083792,2226.9536613669998,23511.565556267433,5343.146864891052,2026-04-23T19:14:53.603660+00:00,2026-04-23T19:52:00.557369+00:00,62.5029745956742,67.41015625,0.8713746582819726,10.557048212893474,50.1,"[89.91043870393176, 89.856886760941, 89.66461418550362, 89.83683331477704]","[100.0, 100.0, 100.0, 100.0]",0.05859375,0.05859375,45001.6796875,1051.9140625,87002.61215305328,41468.97584152222,0,"Ingestion, cleaning, transformation and profiling finished successfully",44
"ingestion, cleaning, transformation and profiling",standard,3,hdfs:///data/CSV/raw-data/3rd-slice/,31,107462293,107143154,4217.638334291,25479.257461762612,10898.749529838562,2026-04-23T20:35:48.515534+00:00,2026-04-23T21:46:06.155112+00:00,62.56930179357134,66.9921875,0.8659709276139194,10.695797897471794,112.0,"[92.54730096857567, 92.6435979210917, 92.41524332624213, 92.22140030710668]","[100.0, 100.0, 100.0, 100.0]",0.328125,0.0625,140042.6142578125,2036.46484375,177305.86650657654,86369.55128097534,0,"Ingestion, cleaning, transformation and profiling finished successfully",90
