vendor_id,trip_distance_count,trip_distance_mean,trip_distance_median,trip_distance_stddev,trip_distance_min,trip_distance_max,fare_amount_count,fare_amount_mean,fare_amount_median,fare_amount_stddev,fare_amount_min,fare_amount_max,tip_amount_count,tip_amount_mean,tip_amount_median,tip_amount_stddev,tip_amount_min,tip_amount_max,total_amount_count,total_amount_mean,total_amount_median,total_amount_stddev,total_amount_min,total_amount_max
1,25292444,3.1653729509097492,1.7,4.168241608506976,0.0,382.5,25292444,18.796027611645492,13.5,227.18163304989545,-4.0,863372.12,25292444,3.0534443508107945,2.5,3.7965739414300113,0.0,999.99,25292444,27.161579251100477,20.6,227.50201608816622,0.0,863380.37
6,11023,10.743597931597566,10.64,5.806526598898477,0.14,79.73,11023,29.248581148507675,27.82,26.918014432021984,0.0,148.02,11023,0.0,0.0,0.0,0.0,0.0,11023,43.037042547400894,42.04,19.605002561562028,0.0,245.21
2,81839687,3.4531212878414537,1.81,4.523931368872549,0.0,1044.66,81839687,19.09058294125795,13.5,19.788830510795528,-2261.2,6300.9,81839687,3.324552821908717,2.6,4.121613050800954,-411.0,494.0,81839687,27.85054664482596,21.05,24.60684697784566,-2265.45,6304.9
