vendor_id,trip_distance_count,trip_distance_mean,trip_distance_median,trip_distance_stddev,trip_distance_min,trip_distance_max,fare_amount_count,fare_amount_mean,fare_amount_median,fare_amount_stddev,fare_amount_min,fare_amount_max,tip_amount_count,tip_amount_mean,tip_amount_median,tip_amount_stddev,tip_amount_min,tip_amount_max,total_amount_count,total_amount_mean,total_amount_median,total_amount_stddev,total_amount_min,total_amount_max
1,724017,3.5033507500514407,1.9,4.304080710060278,0.0,363.1,724017,19.61039584705903,14.2,16.58501229796086,0.0,950.0,724017,2.649948716673775,2.0,3.7392523328779554,0.0,500.0,724017,27.60802804353967,21.71,19.838437527920465,0.0,1098.06
2,3115682,3.535273891879959,1.93,4.456336846225322,0.0,366.4,3115682,18.345434707392158,14.2,20.851796886554325,-1591.3,2495.0,3115682,2.6834729860108673,1.95,3.98635600753071,-52.75,400.5,3115682,26.65774331911676,21.37,25.267557223951467,-1634.75,5297.87
6,2302,8.46217202432667,7.49,5.5713768690732035,0.26,29.85,2302,2.9440920938314994,2.9,1.1667668646007803,0.0,8.7,2302,0.0,0.0,0.0,0.0,0.0,2302,30.856980886185895,27.88,15.286493274335962,0.0,99.74
