counter,stage,operation,parquet_path,processed_rows,threads,parquet_size_mib,compacted_parquet_size_mib,compacted_parquet_files_created,total_partitions_created,msg,execution_time_sec_average,execution_time_sec_standard_deviation,execution_time_sec_min,execution_time_sec_max,throughput_rows_sec_average,throughput_rows_sec_standard_deviation,throughput_rows_sec_min,throughput_rows_sec_max,avg_rss_mib_average,avg_rss_mib_standard_deviation,avg_rss_mib_min,avg_rss_mib_max,peak_rss_mib_average,peak_rss_mib_standard_deviation,peak_rss_mib_min,peak_rss_mib_max,memory_percent_of_total_average,memory_percent_of_total_standard_deviation,memory_percent_of_total_min,memory_percent_of_total_max,avg_process_cpu_percent_average,avg_process_cpu_percent_standard_deviation,avg_process_cpu_percent_min,avg_process_cpu_percent_max,peak_process_cpu_percent_average,peak_process_cpu_percent_standard_deviation,peak_process_cpu_percent_min,peak_process_cpu_percent_max,logical_read_mib_average,logical_read_mib_standard_deviation,logical_read_mib_min,logical_read_mib_max,logical_write_mib_average,logical_write_mib_standard_deviation,logical_write_mib_min,logical_write_mib_max,physical_read_mib_average,physical_read_mib_standard_deviation,physical_read_mib_min,physical_read_mib_max,physical_write_mib_average,physical_write_mib_standard_deviation,physical_write_mib_min,physical_write_mib_max,peak_system_cpu_per_core_percent_average,peak_system_cpu_per_core_percent_standard_deviation,peak_system_cpu_per_core_percent_min,peak_system_cpu_per_core_percent_max,avg_system_cpu_per_core_percent_average,avg_system_cpu_per_core_percent_standard_deviation,avg_system_cpu_per_core_percent_min,avg_system_cpu_per_core_percent_max,rows_in_group
1,compaction to one parquet file per partition,standard,../data/parquet/1st-slice,3842004,3,79.111451,79.183354,1,1,Compaction step completed successfully,1.115506,0.172238,1.010295,1.314276,3495209.945940,495775.456900,2923285.546628,3802855.428732,399.456778,17.963152,381.297363,417.217014,529.143229,34.984582,497.207031,566.535156,6.360897,0.420555,5.976986,6.810391,254.858796,7.096211,246.688889,259.487500,305.900000,12.817566,298.400000,320.700000,81.279948,0.083992,81.195312,81.363281,70.398438,0.000000,70.398438,70.398438,81.279948,0.083992,81.195312,81.363281,0.053385,0.092466,0.000000,0.160156,"[84.89999999999999, 100.0, 100.0, 100.0]","[14.366976021418006, 0.0, 0.0, 0.0]","[71.4, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[41.95740740740741, 40.55462962962963, 61.22037037037037, 73.41435185185185]","[11.3443439785427, 12.853144005580473, 31.02934646553468, 1.9564245688554882]","[30.737499999999997, 29.1625, 26.81111111111111, 71.15555555555557]","[53.422222222222224, 54.48888888888889, 87.075, 74.575]",3
2,compaction to one parquet file per partition,standard,../data/parquet/1st-slice,3842004,0,79.111451,79.183354,1,1,Compaction step completed successfully,0.896073,0.015112,0.884941,0.913276,4288409.109328,71714.534395,4206835.862239,4341537.874624,435.102121,8.859221,427.003906,444.564174,602.506510,21.580957,586.144531,626.964844,7.242795,0.259435,7.046101,7.536821,298.347619,1.514308,296.828571,299.857143,385.333333,13.917375,374.400000,401.000000,81.312500,0.153690,81.148438,81.453125,77.750000,2.486441,74.878906,79.187500,81.315104,0.154350,81.148438,81.453125,0.000000,0.000000,0.000000,0.000000,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[58.70476190476191, 62.27142857142857, 73.62380952380953, 67.64761904761905]","[2.2684316857523283, 1.50935856088145, 3.270035053588978, 1.269527739071544]","[56.80000000000001, 60.52857142857143, 70.47142857142858, 66.2]","[61.214285714285715, 63.142857142857146, 77.0, 68.57142857142857]",3
3,compaction to one parquet file per partition,standard,../data/parquet/2nd-slice,52083818,3,1066.575987,1071.203862,14,14,Compaction step completed successfully,14.347946,0.996198,13.757562,15.498120,3641305.992397,243088.104648,3360653.923069,3785831.861329,556.694021,22.707937,531.168410,574.651325,697.752604,28.560803,665.714844,720.546875,8.387773,0.343333,8.002643,8.661786,264.136187,1.967771,262.078125,265.999130,314.300000,3.579106,311.400000,318.300000,1070.825521,0.153408,1070.648438,1070.917969,1068.902344,4.008857,1064.273438,1071.246094,1084.912760,23.993209,1070.910156,1112.617188,451.248861,13.411203,436.917969,463.496582,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[60.22554121376811, 52.41093750000001, 74.21777400362318, 46.55957427536231]","[13.189345244731246, 13.954153374057432, 8.06176564055614, 7.403438819668796]","[46.19140625000001, 41.86000000000003, 65.48984374999998, 39.271304347826074]","[72.36521739130431, 68.2328125, 81.38521739130434, 54.073043478260864]",3
4,compaction to one parquet file per partition,standard,../data/parquet/2nd-slice,52083818,0,1066.575987,1071.190767,14,14,Compaction step completed successfully,12.187547,0.521755,11.658395,12.701576,4278768.486237,183684.626938,4100579.216774,4467494.844630,877.341564,129.042323,758.758766,1014.770733,1142.104167,166.726546,983.964844,1316.261719,13.729378,2.004244,11.828361,15.822949,310.279313,5.313303,306.289011,316.310465,392.833333,1.301281,391.500000,394.100000,1070.703125,0.155614,1070.523438,1070.792969,1067.919271,5.677710,1061.363281,1071.222656,1070.705729,0.157918,1070.523438,1070.800781,487.055990,19.807490,464.660156,502.273438,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[67.35475338614873, 63.98277536417069, 70.21148309055286, 64.62168838913026]","[3.118201695245137, 2.0787742300663554, 4.537916523058021, 3.148412709541055]","[64.15934065934066, 61.65494505494504, 65.44615384615383, 62.04418604651162]","[70.38953488372091, 65.65384615384613, 74.4813186813187, 68.13076923076923]",3
5,compaction to one parquet file per partition,standard,../data/parquet/3rd-slice,107143226,3,2193.437111,2199.231662,31,31,Compaction step completed successfully,29.395253,1.710481,28.149809,31.345528,3652924.558948,206472.163771,3418134.356119,3806179.455451,619.035668,9.747755,609.666292,629.122191,819.486979,66.179494,747.960938,878.546875,9.851153,0.795552,8.991329,10.561119,261.566420,2.470528,258.888142,263.756223,317.166667,3.453018,314.300000,321.000000,2198.720052,0.593137,2198.035156,2199.062500,2199.350260,0.059155,2199.308594,2199.417969,2252.285156,45.841055,2199.355469,2279.238281,1756.778646,72.653272,1672.886719,1799.050781,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[55.826709790853016, 58.23202254046021, 69.23209277787785, 50.93942380774152]","[14.295882903935205, 6.5473359323795455, 3.159850827453272, 5.456460261120076]","[39.32134387351782, 50.957510729613745, 66.29570815450644, 45.78382978723406]","[64.30729613733908, 63.65217391304348, 72.57588932806327, 56.653754940711494]",3
6,compaction to one parquet file per partition,standard,../data/parquet/3rd-slice,107143226,0,2193.437111,2199.309893,31,31,Compaction step completed successfully,24.622774,0.118108,24.511463,24.746672,4351453.909955,20857.088190,4329601.441789,4371147.718050,917.807288,147.996165,764.578619,1059.947159,1176.825521,201.364306,982.035156,1384.175781,14.146765,2.420625,11.805164,16.639345,313.088324,1.189854,311.994505,314.355249,395.133333,4.743768,391.500000,400.500000,2198.936198,0.002255,2198.933594,2198.937500,2199.412760,0.085075,2199.343750,2199.507812,2199.054688,0.202975,2198.937500,2199.289062,1696.399740,37.714272,1673.648438,1739.933594,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[65.57854759441055, 67.35905409947566, 70.96973714891084, 65.69844999863618]","[1.7526248708419945, 1.6633437221973693, 2.2091020235513614, 3.2648302888781573]","[64.16850828729282, 65.44340659340659, 68.62430939226519, 63.60326086956524]","[67.5407608695652, 68.43701657458563, 73.01098901098904, 69.46022099447515]",3
7,compaction to one parquet file per partition,standard,../data/parquet/4th-slice,633413894,0,11979.698715,12073.150755,115,115,Compaction step completed successfully,136.647042,2.110813,134.336797,138.474926,4636142.680155,71982.444793,4574213.633170,4715118.319162,1736.606048,87.155960,1636.651929,1796.734067,2559.977865,137.046609,2408.687500,2675.812500,30.773810,1.647460,28.955125,32.166282,320.346304,0.997194,319.407018,321.392751,438.866667,4.822171,433.800000,443.400000,11997.983073,1.267681,11996.519531,11998.738281,12073.488281,0.367437,12073.128906,12073.863281,12055.248698,50.602730,11997.000000,12088.367188,11715.598958,1.376821,11714.082031,11716.769531,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[69.64034983802958, 70.21416358287017, 77.1492120401757, 69.16266160139863]","[0.13000877189207374, 1.0801821196732901, 0.3940943789855715, 0.2901412345017311]","[69.4905660377359, 69.19883154819857, 76.69727095516564, 68.95332671300889]","[69.72395326192789, 71.34922027290449, 77.42125124131077, 69.49385964912275]",3
