stage,operation,test_number,slice_path,parquet_path,processed_files,processed_rows,rows_after_cleaning,execution_time_sec,throughput_rows_sec,dataset_size_mib,parquet_files_size_mib,created_parquet_files,benchmark_start_timestamp,benchmark_end_timestamp,avg_rss_mib,peak_rss_mib,memory_percent_of_total,avg_process_cpu_percent,peak_process_cpu_percent,avg_system_cpu_per_core_percent,peak_system_cpu_per_core_percent,logical_read_mib,logical_write_mib,physical_read_mib,physical_write_mib,net_sent_mib,net_received_mib,failed_process_metric_count,msg,dataframe_partitions,dataframe_partitions_parquet
"ingestion, cleaning, transformation, profiling and persistence to parquet",standard,100,hdfs:///data/CSV/raw-data/1st-slice/,hdfs:///data/parquet/1st-slice,1,3898963,3842001,136.9607552949999,28467.738744591617,402.3603820800781,80.94542407989502,8,2026-04-24T00:19:52.660721+00:00,2026-04-24T00:22:09.621514+00:00,56.84936085909498,57.4375,0.7424627708242023,10.939695340501792,58,"[84.13351254480285, 83.6687275985663, 82.97607526881724, 81.52992831541225]","[100.0, 100.0, 100.0, 100.0]",0,0.01171875,448.6132813,97.41796875,6640.919383049011,3359.709330558777,0,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully",8,8
"ingestion, cleaning, transformation, profiling and persistence to parquet",standard,1,hdfs:///data/CSV/raw-data/1st-slice/,hdfs:///data/parquet/1st-slice,1,3898963,3842001,143.63618638999998,27144.712610327613,402.3603820800781,80.94542407989502,8,2026-04-24T11:59:39.389746+00:00,2026-04-24T12:02:03.025968+00:00,56.56376191623822,57.15625,0.738827208,11.28637532133679,115.5,"[75.95938303341917, 76.0314481576694, 77.85107112253645, 76.9197086546702]","[100.0, 100.0, 100.0, 100.0]",0.05078125,0.01953125,449.34375,109.640625,6631.637656211853,3349.891592025757,0,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully",8,8
