stage,operation,test_number,slice_name,parquet_path,query_name,total_files,total_rows_in_dataset,rows_returned,execution_time_sec,throughput_rows_sec,threads,parquet_files_size_mib,benchmark_start_timestamp,benchmark_end_timestamp,avg_rss_mib,peak_rss_mib,memory_percent_of_total,avg_process_cpu_percent,peak_process_cpu_percent,avg_system_cpu_per_core_percent,peak_system_cpu_per_core_percent,logical_read_mib,logical_write_mib,physical_read_mib,physical_write_mib,msg
queries,standard,4,1st-slice,../data/parquet/1st-slice_compacted/,q1_monthly_payment_statistics,1,3842004,5,0.111780711,34370903.22,0,79.18335438,2026-04-15T18:07:12.473217+01:00,2026-04-15T18:07:12.608957+01:00,129.3359375,129.3359375,1.554763017,92.3,92.3,"[100.0, 0.0, 33.3, 50.0]","[100.0, 0.0, 33.3, 50.0]",1.32421875,0,1.69140625,0,Query was processed successfully
queries,standard,10,1st-slice,../data/parquet/1st-slice_compacted/,q2_most_valuable_routes,1,3842004,100,0.215142204,17857974.53,0,79.18335438,2026-04-15T18:26:16.110729+01:00,2026-04-15T18:26:16.378290+01:00,138.5214844,147.7851563,1.776543317,186.1,243.3,"[44.45, 80.0, 100.0, 70.85]","[55.6, 100.0, 100.0, 100.0]",26.16015625,0,26.6796875,0,Query was processed successfully
queries,standard,22,2nd-slice,../data/parquet/2nd-slice_compacted/,q1_monthly_payment_statistics,14,52083818,71,0.728496078,71494987.51,0,1071.233311,2026-04-15T19:19:24.255989+01:00,2026-04-15T19:19:24.999719+01:00,142.1660156,150.8632813,1.813542425,235.5,276.5,"[57.73333333333333, 59.70000000000001, 82.73333333333333, 53.800000000000004]","[62.5, 66.7, 100.0, 70.0]",37.87890625,0,37.98828125,0,Query was processed successfully
queries,standard,28,2nd-slice,../data/parquet/2nd-slice_compacted/,q2_most_valuable_routes,14,52083818,100,1.783623034,29201135.56,0,1071.233311,2026-04-15T21:47:36.216133+01:00,2026-04-15T21:47:38.122287+01:00,212.4348958,312.8046875,3.760257853,263.9533333,299.6,"[59.60000000000001, 63.81333333333334, 91.03333333333333, 66.81333333333335]","[72.7, 83.3, 100.0, 75.0]",391.4101563,0,393.90625,0.24609375,Query was processed successfully
queries,standard,37,3rd-slice,../data/parquet/3rd-slice_compacted/,q1_monthly_payment_statistics,31,107143226,158,1.456409618,73566683.9,0,2199.426888,2026-04-15T22:59:11.104819+01:00,2026-04-15T22:59:12.687980+01:00,152.6347656,169.5039063,2.037628963,250.9666667,278.1,"[56.949999999999996, 56.41666666666668, 83.325, 65.52500000000002]","[70.0, 72.7, 100.0, 72.7]",89.23828125,0,88.92578125,1.109375,Query was processed successfully
queries,standard,40,3rd-slice,../data/parquet/3rd-slice_compacted/,q2_most_valuable_routes,31,107143226,100,3.487704347,30720271.94,0,2199.426888,2026-04-15T23:08:10.272184+01:00,2026-04-15T23:08:13.877855+01:00,243.4327856,384.046875,4.616676309,270.7206897,297.3,"[62.15172413793104, 63.841379310344834, 92.21034482758623, 66.46206896551725]","[72.7, 80.0, 100.0, 100.0]",796.2578125,0,796.2578125,0,Query was processed successfully
queries,standard,43,4th-slice,../data/parquet/4th-slice_compacted/,q1_monthly_payment_statistics,115,633413894,567,8.172098686,77509330.02,0,12072.79584,2026-04-15T23:58:49.959113+01:00,2026-04-15T23:58:58.297285+01:00,240.3974464,328.6953125,3.951286283,264.938806,294.2,"[63.29253731343282, 62.486567164179085, 87.83880597014924, 64.33134328358209]","[83.3, 81.8, 100.0, 77.8]",472.7070313,0,472.359375,1.480957031,Query was processed successfully
queries,standard,46,4th-slice,../data/parquet/4th-slice_compacted/,q2_most_valuable_routes,115,633413894,100,19.42114312,32614655.6,0,12072.79584,2026-04-16T00:09:25.994116+01:00,2026-04-16T00:09:45.567125+01:00,563.0254029,1133.726563,13.62866474,280.6761006,304.5,"[64.64591194968555, 64.99937106918246, 93.99433962264146, 66.83207547169816]","[80.0, 90.9, 100.0, 81.8]",4039.128906,0,4039.128906,1.95703125,Query was processed successfully
