stage,operation,test_number,slice_name,parquet_path,query_name,total_rows_in_dataset,rows_returned,execution_time_sec,threads
queries,DuckDB,4,1st-slice,../data/parquet/1st-slice_compacted/,q1_monthly_payment_statistics,3842004,5,0.111780711,0
queries,DuckDB,22,2nd-slice,../data/parquet/2nd-slice_compacted/,q1_monthly_payment_statistics,52083818,71,0.728496078,0
queries,DuckDB,37,3rd-slice,../data/parquet/3rd-slice_compacted/,q1_monthly_payment_statistics,107143226,158,1.456409618,0
queries,DuckDB,43,4th-slice,../data/parquet/4th-slice_compacted/,q1_monthly_payment_statistics,633413894,567,8.172098686,0
queries,Spark SQL - node 1,1,1st-slice,hdfs:///data/parquet/1st-slice_compacted,q1_monthly_payment_statistics,3842001,5,7.691032397000001,-1
queries,Spark SQL - node 1,3,2nd-slice,hdfs:///data/parquet/2nd-slice_compacted,q1_monthly_payment_statistics,52083818,71,10.712770501000023,-1
queries,Spark SQL - node 1,5,3rd-slice,hdfs:///data/parquet/3rd-slice_compacted,q1_monthly_payment_statistics,107143226,158,14.34142995100001,-1
queries,Spark SQL - node 1,7,4th-slice,hdfs:///data/parquet/4th-slice_compacted,q1_monthly_payment_statistics,633413894,567,72.31993629700001,-1
queries,Spark SQL - node 2,1,1st-slice,hdfs:///data/parquet/1st-slice_compacted,q1_monthly_payment_statistics,3842001,5,12.90121332199999,-1
queries,Spark SQL - node 2,3,2nd-slice,hdfs:///data/parquet/2nd-slice_compacted,q1_monthly_payment_statistics,52083818,71,13.64088074,-1
queries,Spark SQL - node 2,5,3rd-slice,hdfs:///data/parquet/3rd-slice_compacted,q1_monthly_payment_statistics,107143226,158,15.888828027999978,-1
queries,Spark SQL - node 2,7,4th-slice,hdfs:///data/parquet/4th-slice_compacted,q1_monthly_payment_statistics,633413894,567,51.14773038,-1
