stage,operation,test_number,slice_name,parquet_path,total_files,total_rows_in_dataset,total_rows_used_ml,execution_time_sec,execution_time_sec_train,execution_time_sec_pred,throughput_total_rows_sec,throughput_rows_used_ml_sec,parquet_files_size_mib,benchmark_start_timestamp,benchmark_end_timestamp,avg_rss_mib,peak_rss_mib,memory_percent_of_total,avg_process_cpu_percent,peak_process_cpu_percent,avg_system_cpu_per_core_percent,peak_system_cpu_per_core_percent,logical_read_mib,logical_write_mib,physical_read_mib,physical_write_mib,mae,rmse,r2,msg,dataframe_partitions_parquet
machine learning,standard,1,1st-slice,hdfs:///data/parquet/1st-slice_compacted,1,3842001,3594842,107.00556695900002,45.86986526899997,19.895642847999994,35904.683365418656,33594.906341437265,84.26714706420898,2026-04-21T22:08:31.946093+00:00,2026-04-21T22:10:18.951696+00:00,60.238496235721705,60.578125,0.7830602872601221,9.749117342,121.9,"[40.890134994807816, 28.023156801661436, 37.701869158878345, 35.498130841121416]","[100.0, 100.0, 100.0, 100.0]",0,0,131.828125,145.4414063,2.468845096084139,3.3978141918756073,0.26384837046191245,Machine learning algorithm completed,4
machine learning,standard,2,2nd-slice,hdfs:///data/parquet/2nd-slice_compacted,14,52083818,50036106,549.2670856670001,250.58707550399998,105.81353013100005,94824.21095149411,91096.13029012812,1161.4181337356567,2026-04-21T22:49:36.204720+00:00,2026-04-21T22:58:45.471844+00:00,61.32235077247191,62.6171875,0.8094177241779082,10.71191011235966,64.4,"[89.48051685393243, 91.85397752808964, 91.44919101123568, 89.92773033707861]","[100.0, 100.0, 100.0, 100.0]",0,0,1165.933594,5851.734375,2.309779253416887,3.3020120843920107,0.32722899418709994,Machine learning algorithm completed,14
machine learning,standard,3,3rd-slice,hdfs:///data/parquet/3rd-slice_compacted,31,107143226,104459102,1139.884648,509.4592125,215.70258404499987,93994.79690874532,91640.06391,2381.8712244033813,2026-04-22T00:32:26.105340+00:00,2026-04-22T00:51:25.990026+00:00,62.69220297534828,65.375,0.8450668666227369,10.678276012189832,136.9,"[94.95679146713222, 95.02509795385414, 95.08664562472931, 93.74705050065388]","[100.0, 100.0, 100.0, 100.0]",0,0,5282.711914,13128.3125,2.1207233543695376,3.197427997102272,0.36833981009385675,Machine learning algorithm completed,31
machine learning,standard,101,4th-slice,hdfs:///data/parquet/4th-slice_compacted,115,633413894,0,711.3367032,0,0,890455.8012170928,0,11799.798226356506,2026-04-22T18:38:51.110894+00:00,2026-04-22T18:50:42.447689+00:00,55.52435362156641,60.8828125,0.7925317132180316,10.613873435326779,62.1,"[82.83144993045846, 82.86079624478373, 83.0847183588312, 83.24015994436671]","[100.0, 100.0, 100.0, 100.0]",2.140625,0.00390625,26235.56445,14070.77734,0,0,0,"Machine learning algorithm completed with errors, check pipeline.log",116
machine learning,standard,100,1st-slice,hdfs:///data/parquet/1st-slice_compacted,1,3842001,3594842,108.30434396200144,46.90480231699985,19.285715326999707,35474.11728331013,33192.03892007554,84.26714706420898,2026-04-22T23:29:31.504996+00:00,2026-04-22T23:31:19.809369+00:00,60.47416203348671,60.80078125,0.7914626779456243,9.292944785276065,75.5,"[29.58711656441712, 34.31472392638034, 33.87096114519416, 46.8001022494886]","[100.0, 100.0, 100.0, 100.0]",0,0,103.7617188,300.2226563,2.468845096084139,3.3978141918756073,0.26384837046191245,Machine learning algorithm completed,4
machine learning,standard,4,4th-slice,hdfs:///data/parquet/4th-slice_compacted,115,633413894,629893422,10907.11278,4932.151581,2195.1136869929996,58073.47067989124,57750.70221931911,11799.798226356506,2026-04-22T23:43:13.418104+00:00,2026-04-23T02:45:00.530911+00:00,74.84075035676202,98.7734375,1.285764553455384,10.884339822767934,108.4,"[96.08635394213232, 95.92703094171043, 95.86334325566592, 95.76625722790703]","[100.0, 100.0, 100.0, 100.0]",3.23828125,0,133355.7900390625,79483.22656,1.1473900616288355,2.1542349886730205,0.47318974865132934,Machine learning algorithm completed,116
