stage,operation,test_number,parquet_path,compacted_parquet_path,processed_files,processed_rows,execution_time_sec,throughput_rows_sec,parquet_size_mib,compacted_parquet_size_mib,compacted_parquet_files_created,total_partitions_created,benchmark_start_timestamp,benchmark_end_timestamp,avg_rss_mib,peak_rss_mib,memory_percent_of_total,avg_process_cpu_percent,peak_process_cpu_percent,avg_system_cpu_per_core_percent,peak_system_cpu_per_core_percent,logical_read_mib,logical_write_mib,physical_read_mib,physical_write_mib,net_sent_mib,net_received_mib,failed_process_metric_count,msg,dataframe_partitions_parquet,dataframe_partitions_compacted_parquet
compaction to one parquet file per partition,standard,1,hdfs:///data/parquet/1st-slice,hdfs:///data/parquet/1st-slice_compacted,4,3842001,29.541367274000002,130054.94851896813,81.66432285308838,84.26714706420898,1,1,2026-04-20T18:20:12.708509+00:00,2026-04-20T18:20:42.296011+00:00,55.52617495,55.62890625,0.7190848066635899,10.796850393700778,141.1,"[52.607480314960675, 52.93976377952761, 69.83385826771654, 51.13385826771657]","[100.0, 100.0, 100.0, 100.0]",0,0,120.171875,1.59375,167.95412635803223,167.9540433883667,0,Compaction step completed successfully,[4],[1]
compaction to one parquet file per partition,standard,100,hdfs:///data/parquet/1st-slice,hdfs:///data/parquet/1st-slice_compacted,4,3842001,29.284719425999356,131194.73484144162,81.66432285308838,84.26714706420898,1,1,2026-04-21T15:29:04.150388+00:00,2026-04-21T15:29:33.546825+00:00,55.56977844238281,55.69140625,0.7198923468833868,9.895312499999996,124.4,"[54.569140624999996, 54.71718750000005, 67.07656250000004, 45.96601562500007]","[100.0, 100.0, 100.0, 100.0]",0,0.00390625,120.0507813,1.35546875,168.05009937286377,168.05006408691406,0,Compaction step completed successfully,[4],[1]
