stage,operation,test_number,slice_path,processed_files,processed_rows,execution_time_sec,throughput_rows_sec,dataset_size_mib,benchmark_start_timestamp,benchmark_end_timestamp,avg_rss_mib,peak_rss_mib,memory_percent_of_total,avg_process_cpu_percent,peak_process_cpu_percent,avg_system_cpu_per_core_percent,peak_system_cpu_per_core_percent,logical_read_mib,logical_write_mib,physical_read_mib,physical_write_mib,net_sent_mib,net_received_mib,failed_process_metric_count,msg,dataframe_partitions
ingestion,standard,1,hdfs:///data/CSV/raw-data/1st-slice/,1,3898963,20.320189024,191876.31549071558,402.3603820800781,2026-04-23T18:15:00.882459+00:00,2026-04-23T18:15:21.202713+00:00,55.05966115552326,55.12890625,0.7126222965494398,11.23837209302326,77.9,"[64.15116279069764, 62.579069767441844, 62.237790697674406, 63.32093023255813]","[100.0, 100.0, 100.0, 100.0]",0.00390625,0.00390625,442.9326171875,3.37890625,829.8132362365723,412.283616065979,0,Ingestion finished successfully,8
ingestion,standard,2,hdfs:///data/CSV/raw-data/2nd-slice/,14,52359167,79.454786321,658980.6533298977,5343.146864891052,2026-04-23T18:22:33.819216+00:00,2026-04-23T18:23:53.274038+00:00,55.553174640695914,55.78515625,0.7211038377407804,11.31346444780637,91.7,"[66.62753403933412, 67.49213313161864, 66.96928895612686, 67.26928895612691]","[100.0, 100.0, 100.0, 100.0]",0.0,0.00390625,7965.21875,4.140625,10896.610747337341,5500.159529685974,0,Ingestion finished successfully,44
ingestion,standard,3,hdfs:///data/CSV/raw-data/3rd-slice/,31,107462293,168.208007886,638865.4996308539,10898.749529838562,2026-04-23T18:30:02.735037+00:00,2026-04-23T18:32:50.943090+00:00,55.81010908223456,56.30078125,0.7277697716763093,10.619639139486548,124.4,"[54.74288688410849, 53.338653712699966, 53.46335877862617, 52.20090215128415]","[100.0, 100.0, 100.0, 100.0]",0.0,0.00390625,19252.94921875,7.05859375,22169.79924583435,10856.447032928467,0,Ingestion finished successfully,90
ingestion,standard,4,hdfs:///data/CSV/raw-data/4th-slice/,115,634773754,976.148549001,650283.9702518983,60401.12620449066,2026-04-23T18:38:51.595632+00:00,2026-04-23T18:55:07.744240+00:00,57.88530292290058,60.17578125,0.7778594096751471,10.040456081081242,87.8,"[52.599143339766925, 53.01007480694849, 51.92125965250788, 52.17402268339615]","[100.0, 100.0, 100.0, 100.0]",0.0,0.00390625,119367.41796875,33.55078125,122714.23511695862,60163.194016456604,0,Ingestion finished successfully,491
