counter,stage,operation,slice_path,parquet_path,processed_files,processed_rows,rows_after_cleaning,threads,chunksize,dataset_size_mib,parquet_files_size_mib,created_parquet_files,msg,execution_time_sec_average,execution_time_sec_standard_deviation,execution_time_sec_min,execution_time_sec_max,throughput_rows_sec_average,throughput_rows_sec_standard_deviation,throughput_rows_sec_min,throughput_rows_sec_max,avg_rss_mib_average,avg_rss_mib_standard_deviation,avg_rss_mib_min,avg_rss_mib_max,peak_rss_mib_average,peak_rss_mib_standard_deviation,peak_rss_mib_min,peak_rss_mib_max,memory_percent_of_total_average,memory_percent_of_total_standard_deviation,memory_percent_of_total_min,memory_percent_of_total_max,avg_process_cpu_percent_average,avg_process_cpu_percent_standard_deviation,avg_process_cpu_percent_min,avg_process_cpu_percent_max,peak_process_cpu_percent_average,peak_process_cpu_percent_standard_deviation,peak_process_cpu_percent_min,peak_process_cpu_percent_max,logical_read_mib_average,logical_read_mib_standard_deviation,logical_read_mib_min,logical_read_mib_max,logical_write_mib_average,logical_write_mib_standard_deviation,logical_write_mib_min,logical_write_mib_max,physical_read_mib_average,physical_read_mib_standard_deviation,physical_read_mib_min,physical_read_mib_max,physical_write_mib_average,physical_write_mib_standard_deviation,physical_write_mib_min,physical_write_mib_max,peak_system_cpu_per_core_percent_average,peak_system_cpu_per_core_percent_standard_deviation,peak_system_cpu_per_core_percent_min,peak_system_cpu_per_core_percent_max,avg_system_cpu_per_core_percent_average,avg_system_cpu_per_core_percent_standard_deviation,avg_system_cpu_per_core_percent_min,avg_system_cpu_per_core_percent_max,rows_in_group
1,"ingestion, cleaning, transformation, profiling and persistence to parquet",in-memory,../data/CSV/raw-data/1st-slice/,../data/parquet/1st-slice/,1,3898963,3842004,3,0,402.360382,79.118430,1,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully",25.742894,0.833883,25.190420,26.702095,151561.980842,4822.584492,146017.117416,154779.596085,1547.014023,42.445060,1513.999812,1594.891967,3131.256510,209.502938,3007.535156,3373.148438,37.641204,2.518470,36.153945,40.549027,117.304619,0.488626,116.740964,117.608247,309.733333,4.398106,304.900000,313.500000,409.075521,0.215600,408.871094,409.300781,81.277344,4.272672,78.789062,86.210938,434.553385,45.191355,408.121094,486.734375,8.912760,1.191850,7.679688,10.058594,"[100.0, 93.33333333333333, 100.0, 100.0]","[0.0, 11.547005383792516, 0.0, 0.0]","[100.0, 80.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[30.52636763862699, 31.266340797951774, 43.033001944255204, 28.256946770733887]","[18.692464115661554, 16.22701820499487, 36.23006043842171, 13.700265972309175]","[17.489690721649485, 16.304040404040393, 6.391752577319588, 12.504819277108435]","[51.942424242424245, 48.51546391752577, 78.83737373737374, 37.3979797979798]",3
2,"ingestion, cleaning, transformation, profiling and persistence to parquet",in-memory,../data/CSV/raw-data/1st-slice/,../data/parquet/1st-slice/,1,3898963,3842004,0,0,402.360382,79.225151,1,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully",26.222046,0.833623,25.330085,26.981445,148791.293827,4767.442646,144505.345360,153926.172753,1565.329846,65.763166,1509.661169,1637.891612,2887.994792,148.916125,2726.019531,3018.972656,34.716942,1.790141,32.769812,36.291437,119.086009,0.382850,118.672632,119.428395,389.200000,6.322183,385.500000,396.500000,408.845052,0.168347,408.714844,409.035156,85.354167,1.518046,83.601562,86.257812,435.302083,46.422583,408.464844,488.906250,9.156250,1.877541,8.062500,11.324219,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[36.367017543859646, 14.32640502490795, 18.92482586094867, 43.85600281568117]","[49.04280064500992, 11.323977277027188, 10.334091630511862, 33.90930346929295]","[3.6999999999999997, 7.4879999999999995, 9.640740740740743, 4.874736842105262]","[92.76105263157893, 27.397530864197535, 30.059, 66.53827160493827]",3
3,"ingestion, cleaning, transformation, profiling and persistence to parquet",chunking,../data/CSV/raw-data/2nd-slice,../data/parquet/2nd-slice/,14,52359167,52083818,3,100000,5343.146865,1066.575987,529,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully",341.421551,1.675067,339.748151,343.098279,153358.823045,752.399978,152606.906714,154111.705739,315.218300,2.216110,312.659369,316.504701,417.783854,7.421540,411.308594,425.882812,5.022227,0.089216,4.944391,5.119589,112.486092,0.616518,111.854898,113.086804,266.566667,159.640419,169.100000,450.800000,5349.679688,0.071282,5349.597656,5349.726562,1105.803385,1.117504,1105.152344,1107.093750,5431.040365,0.072274,5430.957031,5431.085938,1009.365885,4.804507,1005.906250,1014.851562,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[34.026476919669854, 19.1804539964006, 15.7930251938977, 32.5505039776887]","[15.059867779730492, 11.107974027347803, 2.1112916176375265, 7.630278542661105]","[16.643765133171883, 9.535593220338985, 13.449031476997574, 25.346025878003704]","[43.14282193468891, 31.32542372881355, 17.545386064030115, 40.54509685230032]",3
4,"ingestion, cleaning, transformation, profiling and persistence to parquet",chunking,../data/CSV/raw-data/2nd-slice,../data/parquet/2nd-slice/,14,52359167,52083818,0,100000,5343.146865,1066.575987,529,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully",346.116794,3.111282,342.912631,349.126029,151284.164841,1361.108760,149972.109395,152689.525559,320.672014,1.462350,319.091284,321.976612,413.960938,8.481933,406.257812,423.050781,4.976269,0.101958,4.883675,5.085535,113.936368,0.568026,113.303226,114.401269,187.133333,29.243860,170.000000,220.900000,5349.542969,0.081565,5349.488281,5349.636719,1105.803385,1.131022,1105.148438,1107.109375,5434.139323,5.525822,5430.882812,5440.519531,1009.944010,8.123165,1001.046875,1016.964844,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[21.968430281920845, 35.599020218896555, 18.413497804044766, 25.778038771298185]","[9.492654967481513, 9.769426458363661, 10.84540080707904, 12.820718266509893]","[14.490484739676827, 25.85372434017598, 11.899697885196359, 11.37266862170086]","[32.64791788856306, 45.39239976062247, 30.933255131964856, 35.936193353474344]",3
5,"ingestion, cleaning, transformation, profiling and persistence to parquet",chunking,../data/CSV/raw-data/3rd-slice,../data/parquet/3rd-slice/,31,107462293,107143226,3,100000,10898.749530,2193.437111,1091,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully",716.985112,15.957451,698.638131,727.635580,149930.918736,3378.720334,147686.968610,153816.816188,319.669873,2.091401,318.052035,322.031502,431.220052,6.504011,424.312500,437.226562,5.183750,0.078185,5.100715,5.255956,111.863630,0.317445,111.619379,112.222457,272.666667,147.284939,171.200000,441.600000,10905.580729,0.063148,10905.507812,10905.617188,2245.036458,1.128780,2244.378906,2246.339844,10987.235677,0.153160,10987.074219,10987.378906,2163.419271,8.251677,2154.179688,2170.054688,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[25.468423067531244, 25.04541385624904, 31.59003746284425, 18.916927590366715]","[6.218210241758585, 25.59756405555639, 16.956179177169236, 5.623349772492977]","[18.373192239858895, 9.754255614083732, 12.718636096413883, 15.602827834765716]","[29.969670085944006, 54.596942974720704, 45.54399778209022, 25.409742120343836]",3
6,"ingestion, cleaning, transformation, profiling and persistence to parquet",chunking,../data/CSV/raw-data/3rd-slice,../data/parquet/3rd-slice/,31,107462293,107143226,0,100000,10898.749530,2193.437111,1091,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully",731.448743,15.273820,722.364407,749.082729,146959.263961,3032.240112,143458.511031,148764.656664,322.130497,4.746963,317.703354,327.142990,433.916667,5.023877,428.156250,437.390625,5.216166,0.060393,5.146918,5.257928,113.348783,0.267246,113.040195,113.503891,264.033333,141.436075,173.300000,427.000000,10903.781250,3.027707,10900.285156,10905.531250,2244.389323,0.009021,2244.378906,2244.394531,10958.714844,49.079302,10902.042969,10987.093750,2162.927083,2.595833,2159.964844,2164.804688,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[19.291890334813594, 20.895458002640805, 25.11117424110331, 36.06544788521318]","[7.892204802635986, 4.555720377160414, 8.795844628317816, 7.281856369599632]","[10.657364341085247, 15.641692402717705, 19.16829896907214, 31.833304622451898]","[26.133161512027552, 23.752663230240554, 35.21553258685048, 44.47374922791849]",3
7,"ingestion, cleaning, transformation, profiling and persistence to parquet",chunking,../data/CSV/raw-data/4th-slice,../data/parquet/4th-slice/,115,634773754,633413894,3,100000,60401.126204,11979.698715,6405,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully",4313.347344,40.409580,4267.944444,4345.369020,147173.645593,1384.557179,146080.517214,148730.556923,343.192496,2.208514,340.789560,345.133530,494.088542,7.490326,485.613281,499.820312,5.939500,0.090043,5.837616,6.008401,111.471775,0.126358,111.395637,111.617634,393.000000,177.103275,196.300000,539.800000,60408.311198,0.082895,60408.253906,60408.406250,12209.321615,0.020045,12209.304688,12209.343750,60558.024740,256.529342,60409.242188,60854.238281,12334.226562,228.729197,12195.183594,12598.214844,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[20.211528520282343, 25.56353013937864, 24.664141426920008, 30.436645580781047]","[4.131718436416534, 1.1996548801721951, 5.450205807082071, 0.18525529840844496]","[17.352085744200195, 24.578525376095055, 18.608070519098703, 30.32923114593541]","[24.94863369245824, 26.89953476983335, 29.174656968093714, 30.650559321100083]",3
